Category,Description
Reviews,"The references below are (static) reviews in applications of quantum information science to particle physics."
Whitepapers,"The references below are whitepapers in applications of quantum information science to particle physics. Note that these references are from the Snowmass Community Planning Exercises."
Jet Algorithms and Jet Tagging,"To be written"
Track Reconstruction,"Given a set of signals, known as hits, from a detector's multiple layers of sensors, the goal is to cluster them into a collection of hits that come from the same particle. Each collision may produce a few thousand hits, making track reconstruction computationally demanding. "
Event Generation,"To be written"
Detector Simulation,"To be written"
Signal-Background Discrimination,"To be written"
Anomaly Detection,"To be written"
Beyond the Standard Model,"To be written"
Quantum Field Theories,"To be written"
Lattice Field Theories,"To be written"
Neutrinos,"To be written"
Cosmology,"To be written"
Uncategorized by HEP - TEMPORARY,"Temporary Category"
