ID,HEP_Categories,QIS_Categories,HEP_Context,Methods,Results_and_Conclusions
Guan:2020bdl,"'Reviews'; 'Signal-Background Discrimination', 'Cosmology'","'Reviews'; 'Quantum Annealing', 'Variational Quantum Circuits'","Di-photon event classification, galaxy morphology classification, particle track reconstruction, and signal-background discrimination with the SUSY data set","Quantum machine learning using quantum annealing, restrictive Boltzmann machines, quantum graph networks, and variational quantum circuits","To be written"
Delgado:2022tpc,"'Whitepapers'; 'Jet Algorithms and Jet Tagging', 'Track Reconstruction, 'Signal-Background Discrimination', 'Cosmology', 'Event Generation', 'Detector Simulation'","'Whitepapers'; 'Quantum Annealing', 'Variational Quantum Circuits', 'Quantum Support Vector Machines', Quantum Convolutional Neural Networks, 'Quantum Generative Adversarial Networks', 'Quantum Circuit Born Machines', 'Quantum-Inspired Algorithms'","Object reconstruction (tracking problem and thrust for jet clustering), signal-background discrimination, detector simulations, and Monte Carlo event generation","Amplitude amplification (generalization of Grover's algorithm), quantum annealing, hybrid quantum-classical neural networks, variational quantum circuits, quantum support vector machines, quantum convolutional neural networks, quantum variational autoencoders, and quantum generative models (quantum generative adversarial network and quantum circuit born machine)","To be written"
Bauer:2022hpo,"'Whitepapers'; 'Quantum Field Theories', 'Lattice Field Theory', 'Event Generation'","'Whitepapers'; 'Quantum Simulations'","To be written","To be written","To be written"
Humble:2022vtm,"'Whitepapers'","'Whitepapers'","To be written","To be written","To be written"
Faulkner:2022mlp,"'Whitepapers'; 'Quantum Field Theories'","'Whitepapers'; 'Quantum Simulations'","To be written","To be written","To be written"
Antypas:2022asj,"'Whitepapers'; 'Beyond the Standard Model'","'Whitepapers'; 'Quantum Sensors'","To be written","To be written","To be written"
Derevianko:2022lmn,"'Whitepapers'","'Whitepapers'; 'Quantum Sensors'","To be written","To be written","To be written"
Catterall:2022wjq,"'Whitepapers'","'Whitepapers'; 'Quantum Sensors'","To be written","To be written","To be written"
Wu:2020cye,"'Signal-Background Discrimination'","'Variational Quantum Circuits'","Signal-background discrimination, where signal events are $t\bar{t}H$ ($H\rightarrow\gamma\gamma$) and $H\rightarrow\mu\mu$, and background events are dominant Standard Model processes","Variational quantum circuits","With 100 training events, 100 test events, and 10 encoded variables, the AUC of IBM's quantum computer simulator that includes a noise model with 10 qubits are similar to the AUC of a classical support vector machine (SVM) and a boosted decision tree (BDT) classifier. The results show that IBM's quantum computer and quantum simulator are in good agreement, however, the run time on the quantum computer is longer than the classical machine learning algorithms due to the limitations in quantum hardware."
Wu:2021xsj,"'Signal-Background Discrimination'","'Quantum Support Vector Machines'","Signal-background discrimination, where signal events are $t\bar{t}H$ ($H\rightarrow\gamma\gamma$), and background events are dominant Standard Model processes","Support vector machine with a quantum kernel estimator (QSVM-Kernel)","The performance of these quantum simulators, using 15 qubits and 60 independent datasets of 20000 training events and 20000 testing events, are similar to the performance of a classical SVM and a classical BDT. The QSVM-Kernel algorithm is then implemented on IBM's quantum processor. The mean performance of QSVM-Kernel on IBM's quantum processor and IBM's quantum computer simulator is about 5\% lower. This difference is expected due to hardware noise. The results on IBM's quantum processor does approach the performance of IBM's quantum computer simulator. The paper concludes that the running time is expected to be reduced with improved quantum hardware and predicts that quantum machine learning could potentially become a powerful tool for HEP data analyses."
